OCC_YEAR,OCC_MONTH,Number_of_Thefts
2014,January,49
2014,February,29
2014,March,57
2014,April,146
2014,May,328
2014,June,558
2014,July,565
2014,August,445
2014,September,398
2014,October,270
2014,November,120
2014,December,102
2015,January,68
2015,February,33
2015,March,99
2015,April,269
2015,May,440
2015,June,415
2015,July,505
2015,August,450
2015,September,402
2015,October,281
2015,November,206
2015,December,142
2016,January,109
2016,February,113
2016,March,152
2016,April,234
2016,May,413
2016,June,501
2016,July,520
2016,August,549
2016,September,553
2016,October,343
2016,November,254
2016,December,117
2017,January,93
2017,February,105
2017,March,143
2017,April,271
2017,May,403
2017,June,507
2017,July,552
2017,August,500
2017,September,501
2017,October,450
2017,November,283
2017,December,109
2018,January,89
2018,February,101
2018,March,132
2018,April,209
2018,May,428
2018,June,587
2018,July,653
2018,August,609
2018,September,459
2018,October,394
2018,November,198
2018,December,133
2019,January,124
2019,February,68
2019,March,118
2019,April,191
2019,May,351
2019,June,492
2019,July,617
2019,August,546
2019,September,478
2019,October,418
2019,November,213
2019,December,135
2020,January,118
2020,February,121
2020,March,187
2020,April,243
2020,May,309
2020,June,512
2020,July,629
2020,August,622
2020,September,496
2020,October,372
2020,November,211
2020,December,99
2021,January,113
2021,February,75
2021,March,140
2021,April,238
2021,May,357
2021,June,411
2021,July,427
2021,August,431
2021,September,393
2021,October,306
2021,November,200
2021,December,93
2022,January,49
2022,February,59
2022,March,125
2022,April,186
2022,May,346
2022,June,398
2022,July,489
2022,August,445
2022,September,353
2022,October,318
2022,November,139
2022,December,76
2023,January,87
2023,February,103
2023,March,95
2023,April,157
2023,May,258
2023,June,340
2023,July,473
2023,August,410
2023,September,406
2023,October,340
2023,November,183
2023,December,129
2024,January,104
2024,February,109
2024,March,125
2024,April,199
2024,May,306
2024,June,263
