longitude,latitude,stolen_place,cost,status,hood_num,hood_name,case_num
-79.4436451187837,43.6376571871944,Apartment,NA,STOLEN,085,South Parkdale (85),401
-79.4146535298481,43.6605248046894,House,NA,RECOVERED,080,Palmerston-Little Italy (80),501
-79.3956427347843,43.6400206791244,Commercial,1300,STOLEN,165,Harbourfront-CityPlace (165),1044
-79.4295656918104,43.7184247625752,Outside,500,STOLEN,039,Bedford Park-Nortown (39),115
-79.4046775317727,43.6489637896268,Apartment,750,STOLEN,078,Kensington-Chinatown (78),1237
-79.3726901505519,43.6523765914803,Apartment,1500,STOLEN,168,Downtown Yonge East (168),1618
-79.3737671550415,43.6672884064532,Outside,400,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.3937600356872,43.6427721818759,Apartment,1019,STOLEN,165,Harbourfront-CityPlace (165),1044
-79.4037854433742,43.7311447760027,Commercial,600,STOLEN,105,Lawrence Park North (105),146
-79.3751895486948,43.6518039909077,Apartment,1200,STOLEN,168,Downtown Yonge East (168),1618
-79.3751895486948,43.6518039909077,Apartment,1500,STOLEN,168,Downtown Yonge East (168),1618
-79.4233758248712,43.6859317065708,Other,560,STOLEN,106,Humewood-Cedarvale (106),229
-79.379651649712,43.6637800028837,Apartment,200,STOLEN,167,Church-Wellesley (167),1053
-79.3763604501496,43.6585104976143,Outside,1000,STOLEN,168,Downtown Yonge East (168),1618
-79.3630434047236,43.7058698747471,House,900,STOLEN,056,Leaside-Bennington (56),251
-79.3975621789055,43.7793074986276,House,1500,STOLEN,152,East Willowdale (152),89
-79.4371259697797,43.7186023587707,House,0,UNKNOWN,032,Englemount-Lawrence (32),148
-79.3405895843192,43.6622735216002,Apartment,1300,STOLEN,070,South Riverdale (70),979
-79.379357949273,43.6618755009793,Commercial,1800,STOLEN,167,Church-Wellesley (167),1053
-79.3558020640381,43.656528295632,Apartment,479,STOLEN,073,Moss Park (73),1110
-79.4011106329617,43.6469652864393,Outside,3300,STOLEN,164,Wellington Place (164),1293
-79.3307823959409,43.6603254397122,Other,150,STOLEN,070,South Riverdale (70),979
-79.3809177432754,43.6415572806237,Outside,400,STOLEN,166,St Lawrence-East Bayfront-The Islands,1295
-79.3965402355603,43.6494389885426,Outside,800,STOLEN,078,Kensington-Chinatown (78),1237
-79.4209253317949,43.6700142166383,House,200,STOLEN,095,Annex (95),1272
-79.3855491405765,43.6460531851568,Commercial,700,STOLEN,164,Wellington Place (164),1293
-79.4209253317949,43.6700142166383,House,200,STOLEN,095,Annex (95),1272
-79.3532935098141,43.6885245915827,Apartment,900,STOLEN,057,Broadview North (57),136
-79.4342234219242,43.6463024940364,Other,1100,STOLEN,084,Little Portugal (84),482
-79.4039038144616,43.7559307884816,Apartment,2399,STOLEN,153,Avondale (153),157
-79.3823855423882,43.65027638938,Commercial,2000,STOLEN,170,Yonge-Bay Corridor (170),2141
-79.5180320910814,43.5979722992939,Educational,600,STOLEN,018,New Toronto (18),136
-79.3723764526907,43.6581656972694,Outside,750,STOLEN,073,Moss Park (73),1110
-79.3956427347843,43.6400206791244,Apartment,300,STOLEN,165,Harbourfront-CityPlace (165),1044
-79.4342234219242,43.6463024940364,House,120,STOLEN,084,Little Portugal (84),482
-79.3036371666015,43.7306821457747,House,150,STOLEN,119,Wexford/Maryvale (119),125
-79.4485364185212,43.6624394188498,Other,350,STOLEN,171,Junction-Wallace Emerson (171),530
-79.4069828314629,43.651378192884,House,2000,STOLEN,081,Trinity-Bellwoods (81),540
-79.3920588405605,43.655806195001,Outside,100,STOLEN,078,Kensington-Chinatown (78),1237
-79.4247582187118,43.6890838963217,House,500,STOLEN,106,Humewood-Cedarvale (106),229
-79.2189016837165,43.7431770857176,Commercial,3000,UNKNOWN,139,Scarborough Village (139),46
-79.4247582187118,43.6890838963217,House,950,STOLEN,106,Humewood-Cedarvale (106),229
-79.3778790513714,43.6652129043166,Outside,1800,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.3621343568586,43.6501852892888,Commercial,10000,STOLEN,166,St Lawrence-East Bayfront-The Islands,1295
-79.4941474021558,43.6725846300648,Apartment,NA,STOLEN,111,Rockcliffe-Smythe (111),91
-79.3778790513714,43.6652129043166,Outside,1600,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.3959389510184,43.7047426145588,Outside,1000,STOLEN,174,South Eglinton-Davisville (174),349
-79.3778790513714,43.6652129043166,Outside,1100,STOLEN,071,Cabbagetown-South St.James Town (71),565
-79.3605703088432,43.7031688823898,Commercial,NA,STOLEN,055,Thorncliffe Park (55),115
-79.4732411159095,43.6720008439581,Commercial,1800,STOLEN,090,Junction Area (90),220
-79.4378756780549,43.708313258825,Transit,NA,STOLEN,031,Yorkdale-Glen Park (31),186
-79.3508621107908,43.6879661924393,Apartment,200,UNKNOWN,057,Broadview North (57),136
